,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
250,mmap2,mmap2,close,mmap2,mmap2,,,,,,,,,,
251,exit_group,wait4,rt_sigreturn,wait4,rt_sigreturn,,,,,,,,,,
252,openat,fcntl,dup2,close,stat,,,,,,,,,,
253,brk,brk,socket,connect,close,,,,,,,,,,
254,openat,lseek,fstat,read,close,,,,,,,,,,
255,write,read,exit_group,read,close,,,,,,,,,,
256,read,close,wait4,rt_sigreturn,wait4,,,,,,,,,,
257,close,stat,pipe,clone,close,,,,,,,,,,
258,close,pipe,clone,close,close,,,,,,,,,,
259,close,close,stat,stat,stat,,,,,,,,,,
260,mmap2,close,mmap2,arch_prctl,mmap2,,,,,,,,,,
261,fcntl,dup2,close,execve,brk,,,,,,,,,,
262,mmap2,mmap2,close,openat,openat,,,,,,,,,,
263,openat,stat,openat,openat,openat,,,,,,,,,,
264,clone,prlimit64,mmap2,mprotect,clone,,,,,,,,,,
265,close,socket,bind,sendto,sendto,,,,,,,,,,
266,sendto,sendto,poll,recvfrom,recvfrom,,,,,,,,,,
267,recvfrom,poll,recvfrom,close,write,,,,,,,,,,
268,recvfrom,close,write,epoll_pwait,read,,,,,,,,,,
269,socket,setsockopt,setsockopt,setsockopt,connect,,,,,,,,,,
270,brk,brk,openat,read,close,,,,,,,,,,
271,sendto,recvmsg,recvmsg,recvmsg,close,,,,,,,,,,
272,close,futex,futex,futex,futex,,,,,,,,,,
273,socketpair,fcntl,fcntl,fcntl,fcntl,,,,,,,,,,
274,open,fcntl,read,read,close,,,,,,,,,,
275,lseek,lseek,write,lseek,write,,,,,,,,,,
276,futex,futex,madvise,exit,futex,,,,,,,,,,
277,openat,fstat,write,close,openat,,,,,,,,,,
278,fstat,getdents,getdents,close,openat,,,,,,,,,,
279,fdatasync,close,rename,openat,fstat,,,,,,,,,,
280,getdents,close,openat,openat,fstat,,,,,,,,,,
281,read,read,close,open,fcntl,,,,,,,,,,
282,read,read,close,socket,bind,,,,,,,,,,
283,mprotect,rt_sigprocmask,clone,rt_sigprocmask,prlimit64,,,,,,,,,,
284,dup2,close,stat,stat,stat,,,,,,,,,,
