,0,1,2,3,4,5,6,7,8,9,10
10933,eventfd2,rt_sigprocmask,read,write,rt_sigprocmask,rt_sigprocmask,read,rt_sigaction,18,,
10934,eventfd2,rt_sigprocmask,read,write,rt_sigprocmask,rt_sigprocmask,rt_sigaction,18,,,
10935,eventfd2,rt_sigprocmask,rt_sigaction,read,18,,,,,,
10936,eventfd2,rt_sigprocmask,rt_sigaction,read,rt_sigaction,18,,,,,
10937,eventfd2,rt_sigprocmask,rt_sigaction,rt_sigaction,18,,,,,,
10938,eventfd2,rt_sigprocmask,rt_sigaction,rt_sigprocmask,read,18,,,,,
10939,eventfd2,rt_sigprocmask,rt_sigaction,rt_sigprocmask,read,rt_sigaction,18,,,,
10940,eventfd2,rt_sigprocmask,rt_sigaction,rt_sigprocmask,rt_sigaction,18,,,,,
10941,eventfd2,rt_sigprocmask,rt_sigaction,rt_sigprocmask,rt_sigprocmask,read,18,,,,
10942,eventfd2,rt_sigprocmask,rt_sigaction,rt_sigprocmask,rt_sigprocmask,read,rt_sigaction,18,,,
10943,eventfd2,rt_sigprocmask,rt_sigaction,rt_sigprocmask,rt_sigprocmask,rt_sigaction,18,,,,
10944,eventfd2,rt_sigprocmask,rt_sigaction,write,read,18,,,,,
10945,eventfd2,rt_sigprocmask,rt_sigaction,write,read,rt_sigaction,18,,,,
10946,eventfd2,rt_sigprocmask,rt_sigaction,write,rt_sigaction,18,,,,,
10947,eventfd2,rt_sigprocmask,rt_sigaction,write,rt_sigprocmask,read,18,,,,
10948,eventfd2,rt_sigprocmask,rt_sigaction,write,rt_sigprocmask,read,rt_sigaction,18,,,
10949,eventfd2,rt_sigprocmask,rt_sigaction,write,rt_sigprocmask,rt_sigaction,18,,,,
10950,eventfd2,rt_sigprocmask,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,read,18,,,
10951,eventfd2,rt_sigprocmask,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,read,rt_sigaction,18,,
10952,eventfd2,rt_sigprocmask,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,rt_sigaction,18,,,
10953,eventfd2,rt_sigprocmask,rt_sigprocmask,read,18,,,,,,
10954,eventfd2,rt_sigprocmask,rt_sigprocmask,read,rt_sigaction,18,,,,,
10955,eventfd2,rt_sigprocmask,rt_sigprocmask,rt_sigprocmask,read,18,,,,,
10956,eventfd2,rt_sigprocmask,rt_sigprocmask,rt_sigprocmask,read,rt_sigaction,18,,,,
10957,eventfd2,rt_sigprocmask,rt_sigprocmask,rt_sigprocmask,rt_sigaction,18,,,,,
10958,eventfd2,rt_sigprocmask,write,read,18,,,,,,
10959,eventfd2,rt_sigprocmask,write,read,rt_sigaction,18,,,,,
10960,eventfd2,rt_sigprocmask,write,rt_sigaction,18,,,,,,
10961,eventfd2,rt_sigprocmask,write,rt_sigprocmask,read,18,,,,,
10962,eventfd2,rt_sigprocmask,write,rt_sigprocmask,read,rt_sigaction,18,,,,
10963,eventfd2,rt_sigprocmask,write,rt_sigprocmask,rt_sigaction,18,,,,,
10964,eventfd2,rt_sigprocmask,write,rt_sigprocmask,rt_sigprocmask,read,18,,,,
10965,eventfd2,rt_sigprocmask,write,rt_sigprocmask,rt_sigprocmask,read,rt_sigaction,18,,,
