,0,1,2,3,4,5,6,7,8,9,10
430,read,close,sched_getaffinity,sched_getaffinity,sched_setaffinity,sched_setaffinity,12,,,,
431,read,fstat,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,12.0
432,read,read,close,open,12,,,,,,
433,rt_sigaction,rt_sigaction,rt_sigaction,12,,,,,,,
434,rt_sigprocmask,clone,12,,,,,,,,
435,rt_sigprocmask,mmap2,mprotect,12,,,,,,,
436,setsockopt,setsockopt,connect,epoll_ctl,12,,,,,,
437,setsockopt,setsockopt,setsockopt,connect,epoll_ctl,12,,,,,
438,write,close,12,,,,,,,,
439,write,write,write,write,12,,,,,,
440,arch_prctl,set_tid_address,brk,brk,open,read,11,,,,
441,arch_prctl,set_tid_address,exit_group,11,,,,,,,
442,brk,brk,mmap2,11,,,,,,,
443,brk,getpid,11,,,,,,,,
444,brk,mmap2,brk,11,,,,,,,
445,brk,mmap2,mprotect,brk,11,,,,,,
446,brk,sched_getaffinity,11,,,,,,,,
447,clock_getres,epoll_create1,pipe2,write,pipe2,eventfd2,rt_sigprocmask,11,,,
448,clock_getres,epoll_create1,pipe2,write,pipe2,eventfd2,rt_sigprocmask,read,rt_sigprocmask,rt_sigaction,11.0
449,clone,mmap2,mprotect,11,,,,,,,
450,clone,mmap2,mprotect,clone,mmap2,mprotect,11,,,,
451,clone,rt_sigprocmask,11,,,,,,,,
452,close,close,pipe2,11,,,,,,,
453,close,close,pipe2,write,setsid,chdir,11,,,,
454,close,ioctl,writev,11,,,,,,,
455,close,pipe2,write,setsid,chdir,11,,,,,
456,close,socket,connect,11,,,,,,,
457,close,stat,stat,stat,11,,,,,,
458,close,uname,11,,,,,,,,
459,connect,close,socket,11,,,,,,,
460,epoll_create1,pipe2,write,pipe2,eventfd2,11,,,,,
461,epoll_create1,pipe2,write,pipe2,eventfd2,rt_sigprocmask,read,11,,,
462,epoll_create1,pipe2,write,pipe2,eventfd2,rt_sigprocmask,read,rt_sigprocmask,rt_sigaction,write,11.0
463,eventfd2,rt_sigprocmask,read,rt_sigprocmask,rt_sigaction,write,11,,,,
464,eventfd2,rt_sigprocmask,read,rt_sigprocmask,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,read,rt_sigaction,11.0
465,fstat,mmap2,close,11,,,,,,,
466,fstat,mmap2,mmap2,mprotect,mmap2,close,openat,read,11,,
467,fstat,mmap2,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2,11.0
468,futex,futex,brk,brk,11,,,,,,
469,futex,futex,futex,openat,11,,,,,,
470,futex,sysinfo,11,,,,,,,,
471,lseek,fstat,write,11,,,,,,,
472,mmap2,brk,mmap2,11,,,,,,,
473,mmap2,close,openat,openat,11,,,,,,
474,mmap2,mmap2,close,munmap,arch_prctl,set_tid_address,11,,,,
475,mmap2,mmap2,mprotect,mmap2,close,openat,read,11,,,
476,mmap2,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect,11.0
477,mmap2,mprotect,clone,futex,11,,,,,,
478,mmap2,mprotect,clone,mmap2,mprotect,11,,,,,
479,mmap2,mprotect,clone,mmap2,mprotect,clone,mmap2,mprotect,11,,
480,mmap2,mprotect,futex,futex,11,,,,,,
481,mmap2,mprotect,mmap2,mmap2,close,munmap,arch_prctl,set_tid_address,11,,
482,mmap2,mprotect,mmap2,mprotect,mmap2,mmap2,close,munmap,arch_prctl,set_tid_address,11.0
483,mprotect,clone,futex,11,,,,,,,
484,mprotect,clone,mmap2,mprotect,clone,11,,,,,
485,mprotect,clone,mmap2,mprotect,clone,mmap2,mprotect,11,,,
486,mprotect,futex,futex,11,,,,,,,
487,mprotect,mmap2,mmap2,close,munmap,arch_prctl,set_tid_address,11,,,
488,mprotect,mmap2,mprotect,mmap2,mmap2,close,munmap,arch_prctl,set_tid_address,11,
489,munmap,exit_group,11,,,,,,,,
490,openat,openat,openat,stat,openat,11,,,,,
491,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,close,openat,read,11.0
492,pipe2,eventfd2,rt_sigprocmask,read,rt_sigprocmask,rt_sigaction,write,11,,,
493,pipe2,eventfd2,rt_sigprocmask,read,rt_sigprocmask,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,read,11.0
494,pipe2,write,pipe2,eventfd2,rt_sigprocmask,11,,,,,
495,pipe2,write,pipe2,eventfd2,rt_sigprocmask,read,rt_sigprocmask,11,,,
496,pipe2,write,pipe2,eventfd2,rt_sigprocmask,read,rt_sigprocmask,rt_sigaction,write,rt_sigprocmask,11.0
497,pipe2,write,setsid,chdir,11,,,,,,
498,read,close,open,fcntl,11,,,,,,
499,read,close,uname,11,,,,,,,
500,read,fstat,mmap2,mmap2,mprotect,mmap2,close,openat,read,fstat,11.0
501,read,read,close,openat,read,11,,,,,
502,set_tid_address,brk,brk,open,read,11,,,,,
503,set_tid_address,exit_group,11,,,,,,,,
504,socket,connect,close,socket,11,,,,,,
505,stat,openat,read,close,openat,11,,,,,
506,stat,stat,stat,stat,stat,11,,,,,
507,stat,stat,stat,stat,stat,stat,stat,11,,,
508,sysinfo,futex,11,,,,,,,,
509,uname,sched_getaffinity,openat,11,,,,,,,
510,write,epoll_ctl,11,,,,,,,,
511,write,epoll_wait,11,,,,,,,,
512,write,pipe2,eventfd2,rt_sigprocmask,read,11,,,,,
513,write,pipe2,eventfd2,rt_sigprocmask,read,rt_sigprocmask,rt_sigaction,11,,,
514,write,pipe2,eventfd2,rt_sigprocmask,read,rt_sigprocmask,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,11.0
515,write,setsid,chdir,11,,,,,,,
516,write,write,write,write,write,write,write,11,,,
