,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
244,stat,stat,stat,stat,stat,stat,stat,stat,stat,,,,,,
245,read,close,openat,openat,read,close,openat,read,close,openat,,,,,
246,stat,openat,stat,openat,stat,openat,stat,openat,stat,writev,,,,,
247,mmap2,close,openat,openat,stat,openat,stat,openat,stat,openat,,,,,
248,openat,stat,openat,stat,openat,stat,openat,stat,openat,openat,,,,,
249,mprotect,mmap2,mmap2,close,mprotect,openat,lseek,fstat,read,close,,,,,
250,dup2,close,dup2,close,openat,fcntl,dup2,close,execve,close,,,,,
251,execve,close,dup2,close,dup2,close,openat,fcntl,dup2,close,,,,,
252,clone,mmap2,mprotect,clone,mmap2,mprotect,clone,mmap2,mprotect,clone,,,,,
253,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,close,openat,,,,,
254,getsockname,connect,connect,getsockname,connect,connect,getsockname,connect,connect,getsockname,,,,,
255,lseek,lseek,lseek,lseek,lseek,lseek,lseek,write,lseek,write,,,,,
256,openat,read,close,openat,openat,read,close,openat,read,close,openat,,,,
257,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,writev,,,,
258,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,openat,,,,
259,mmap2,mprotect,mmap2,mmap2,close,mprotect,openat,lseek,fstat,read,close,,,,
260,close,dup2,close,dup2,close,openat,fcntl,dup2,close,execve,close,,,,
261,close,execve,close,dup2,close,dup2,close,openat,fcntl,dup2,close,,,,
262,mprotect,clone,mmap2,mprotect,clone,mmap2,mprotect,clone,mmap2,mprotect,clone,,,,
263,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,close,openat,,,,
264,connect,getsockname,connect,connect,getsockname,connect,connect,getsockname,connect,connect,getsockname,,,,
265,lseek,lseek,lseek,lseek,lseek,lseek,lseek,lseek,write,lseek,write,,,,
266,futex,futex,futex,futex,futex,futex,futex,futex,futex,futex,futex,,,,
267,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,,,,
268,close,openat,read,close,openat,openat,read,close,openat,read,close,openat,,,
269,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,writev,,,
270,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,openat,,,
271,fstat,mmap2,mprotect,mmap2,mmap2,close,mprotect,openat,lseek,fstat,read,close,,,
272,dup2,close,execve,close,dup2,close,dup2,close,openat,fcntl,dup2,close,,,
273,mmap2,mprotect,clone,mmap2,mprotect,clone,mmap2,mprotect,clone,mmap2,mprotect,clone,,,
274,stat,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,close,openat,,,
275,fstat,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,,,
276,stat,lseek,lseek,lseek,lseek,lseek,lseek,lseek,lseek,write,lseek,write,,,
277,read,close,openat,read,close,openat,openat,read,close,openat,read,close,openat,,
278,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,writev,,
279,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,openat,,
280,read,fstat,mmap2,mprotect,mmap2,mmap2,close,mprotect,openat,lseek,fstat,read,close,,
281,fcntl,dup2,close,execve,close,dup2,close,dup2,close,openat,fcntl,dup2,close,,
282,openat,stat,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,close,openat,,
283,read,fstat,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,,
284,nanosleep,nanosleep,nanosleep,epoll_wait,nanosleep,nanosleep,epoll_wait,epoll_wait,nanosleep,nanosleep,nanosleep,epoll_wait,nanosleep,,
285,stat,stat,lseek,lseek,lseek,lseek,lseek,lseek,lseek,lseek,write,lseek,write,,
286,openat,read,close,openat,read,close,openat,openat,read,close,openat,read,close,openat,
287,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,writev,
288,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,openat,
