,name
164,openat
165,stat
166,openat
167,stat
168,openat
169,stat
170,openat
171,stat
172,openat
173,stat
174,openat
175,stat
176,openat
177,stat
178,openat
179,read
180,fstat
181,mmap2
182,mmap2
183,mprotect
184,mmap2
185,mmap2
186,close
187,openat
188,read
189,fstat
190,mmap2
191,mprotect
192,mmap2
193,mmap2
194,close
195,mmap2
196,arch_prctl
197,mprotect
198,mprotect
199,mprotect
200,mprotect
201,getuid
202,brk
203,brk
204,getpid
205,rt_sigaction
206,rt_sigaction
207,getppid
208,uname
209,stat
210,stat
211,rt_sigaction
212,rt_sigaction
213,rt_sigaction
214,execve
215,write
216,write
217,write
218,exit_group
219,wait4
220,rt_sigaction
221,rt_sigaction
222,rt_sigprocmask
223,rt_sigaction
224,rt_sigaction
225,rt_sigprocmask
226,pipe2
227,rt_sigprocmask
228,clone
229,close
230,read
231,close
232,rt_sigprocmask
233,execve
234,brk
235,access
236,openat
237,openat
238,stat
239,openat
240,stat
241,openat
242,stat
243,openat
244,stat
245,openat
246,stat
247,openat
248,stat
249,openat
250,stat
251,openat
252,read
253,fstat
254,mmap2
255,mmap2
256,mprotect
257,mmap2
258,mmap2
259,close
260,openat
261,read
262,fstat
263,mmap2
264,mprotect
265,mmap2
266,mmap2
267,close
268,mmap2
269,arch_prctl
270,mprotect
271,mprotect
272,mprotect
273,mprotect
274,getuid
275,brk
276,brk
277,getpid
278,rt_sigaction
279,rt_sigaction
280,getppid
281,uname
282,stat
283,stat
284,rt_sigaction
285,rt_sigaction
286,rt_sigaction
287,execve
288,write
289,write
290,write
291,exit_group
292,wait4
293,rt_sigaction
294,rt_sigaction
295,rt_sigprocmask
296,rt_sigaction
297,rt_sigaction
298,rt_sigprocmask
299,pipe2
300,rt_sigprocmask
301,clone
302,close
303,read
304,close
305,rt_sigprocmask
306,execve
307,brk
308,access
309,openat
310,openat
311,stat
312,openat
313,stat
314,openat
315,stat
316,openat
317,stat
318,openat
319,stat
320,openat
321,stat
322,openat
323,stat
324,openat
325,read
326,fstat
327,mmap2
328,mmap2
329,mprotect
330,mmap2
331,mmap2
332,close
333,openat
334,read
335,fstat
336,mmap2
337,mprotect
338,mmap2
339,mmap2
340,close
341,mmap2
342,arch_prctl
343,mprotect
344,mprotect
345,mprotect
346,mprotect
347,getuid
348,brk
349,brk
350,getpid
351,rt_sigaction
352,rt_sigaction
353,getppid
354,uname
355,stat
356,stat
357,rt_sigaction
358,rt_sigaction
359,rt_sigaction
360,execve
361,write
362,write
363,write
