,name
186,recvmsg
187,recvmsg
188,close
189,write
190,write
191,socket
192,connect
193,close
194,socket
195,bind
196,getsockname
197,sendto
198,recvmsg
199,recvmsg
200,recvmsg
201,close
202,socket
203,setsockopt
204,setsockopt
205,bind
206,listen
207,epoll_ctl
208,write
209,write
210,getpid
211,openat
212,write
213,close
214,write
215,write
216,mmap2
217,mprotect
218,clone
219,mmap2
220,mprotect
221,clone
222,mmap2
223,mprotect
224,clone
225,mmap2
226,mprotect
227,clone
228,mmap2
229,mprotect
230,clone
231,set_robust_list
232,prctl
233,set_robust_list
234,prctl
235,set_robust_list
236,prctl
237,write
238,write
239,set_robust_list
240,prctl
241,set_robust_list
242,prctl
243,write
244,mkdir
245,write
246,openat
247,lseek
248,openat
249,stat
250,openat
251,openat
252,fstat
253,getdents
254,stat
255,stat
256,stat
257,stat
258,stat
259,stat
260,stat
261,stat
262,getdents
263,close
264,brk
265,openat
266,fstat
267,getdents
268,stat
269,stat
270,getdents
271,close
272,brk
273,mmap2
274,openat
275,fstat
276,getdents
277,stat
278,stat
279,getdents
280,close
281,stat
282,socket
283,setsockopt
284,setsockopt
285,fcntl
286,fcntl
287,setsockopt
288,bind
289,write
290,listen
291,socket
292,setsockopt
293,setsockopt
294,fcntl
295,fcntl
296,bind
297,write
298,listen
299,stat
300,stat
301,stat
302,mkdir
303,stat
304,write
305,write
306,write
307,write
308,write
309,futex
310,futex
311,mkdir
312,write
313,mkdir
314,rename
315,openat
316,mkdir
317,openat
318,fcntl
319,access
320,openat
321,fstat
322,write
323,close
324,openat
325,fstat
326,write
327,fdatasync
328,close
329,rename
330,openat
331,fstat
332,read
333,read
334,read
335,close
336,openat
337,fstat
338,read
339,read
340,close
341,openat
342,fstat
343,getdents
344,getdents
345,close
346,openat
347,openat
348,fstat
349,write
350,write
351,openat
352,fsync
353,close
354,fdatasync
355,openat
356,fstat
357,write
358,fdatasync
359,close
360,rename
361,openat
362,fstat
363,getdents
364,getdents
365,close
366,fstat
367,write
368,unlink
369,write
370,write
371,mkdir
372,write
373,mkdir
374,rename
375,openat
376,mkdir
377,openat
378,fcntl
379,access
380,openat
381,fstat
382,write
383,close
384,openat
385,fstat
386,write
387,fdatasync
388,close
389,rename
390,openat
391,fstat
392,read
393,read
394,read
395,close
396,openat
397,fstat
398,read
399,read
400,close
401,openat
402,fstat
403,getdents
404,getdents
405,close
406,openat
407,openat
408,fstat
409,write
410,write
411,openat
412,fsync
413,close
414,fdatasync
415,openat
416,fstat
417,write
418,fdatasync
419,close
420,rename
421,openat
422,fstat
423,getdents
424,getdents
425,close
426,fstat
427,write
428,unlink
429,write
430,getpid
431,fstat
432,write
433,write
434,write
435,getpid
436,getpid
437,write
438,write
439,write
440,write
441,brk
442,getpid
443,fstat
444,write
445,write
446,statfs
447,write
448,write
449,write
450,write
451,write
452,write
453,write
454,epoll_ctl
455,write
456,epoll_wait
457,futex
458,futex
459,futex
460,read
461,futex
462,mmap2
463,munmap
464,mprotect
465,madvise
466,exit
467,futex
468,close
469,futex
470,futex
471,futex
472,futex
473,futex
474,futex
475,futex
476,futex
477,madvise
478,exit
479,futex
480,futex
481,futex
482,madvise
483,exit
484,futex
485,futex
486,futex
487,madvise
488,exit
489,futex
490,futex
491,futex
492,madvise
493,exit
494,futex
495,futex
496,futex
497,futex
498,futex
499,futex
500,futex
501,futex
502,futex
503,write
504,madvise
505,exit
506,futex
507,write
508,prctl
509,munmap
510,epoll_ctl
511,close
512,close
513,close
514,close
515,write
516,statfs
517,write
518,write
519,write
520,fcntl
521,close
522,close
523,close
524,close
525,fcntl
526,close
527,close
528,close
529,close
530,lstat
531,unlink
532,munmap
533,write
534,munmap
535,close
536,openat
537,fcntl
538,fcntl
539,read
540,lseek
541,write
542,pwrite
543,fdatasync
544,close
545,munmap
546,getpid
547,openat
548,stat
549,openat
550,openat
551,openat
552,fstat
553,getdents
554,stat
555,stat
556,stat
557,stat
558,stat
559,stat
560,stat
561,stat
562,stat
563,getdents
564,close
565,close
566,close
567,exit_group
